source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,end,low,unknown,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.7692307692307693,0.5,0.5897435897435898,0.7692307692307693
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,end,medium,unknown,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.5066666666666667,1.0
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,front,low,unknown,6,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,front,medium,unknown,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6571428571428571,1.0
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,middle,low,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.9375,0.5,0.6458333333333333,1.0
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,middle,medium,unknown,8,0.375,0.375,0.375,0.375,0.375,0.375,0.875,0.40625,0.5499999999999999,0.875
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,scattered,low,unknown,8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.4375,0.5833333333333333,0.875
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,16000,scattered,medium,unknown,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9285714285714286,0.35714285714285715,0.5047619047619047,0.9285714285714286
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,4000,end,low,unknown,12,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5833333333333334,0.6388888888888888,0.8333333333333334
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,4000,end,medium,unknown,8,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.4375,0.6,1.0
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,4000,front,low,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.5,0.5925925925925926,0.7777777777777778
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,4000,front,medium,unknown,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.9090909090909091,0.4318181818181818,0.5748917748917749,0.9090909090909091
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,4000,middle,low,unknown,8,0.875,0.90625,0.875,0.90625,0.875,0.90625,0.875,0.5625,0.6666666666666666,1.0
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,4000,middle,medium,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.3333333333333333,0.4888888888888889,1.0
2wikimultihopqa,qwen3:14b,retrieve_then_read,comparison,4000,scattered,high,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0
